transition,n,pre_ppg,post_ppg,pre_ts,post_ts,pre_ortg,post_ortg,ppg_change,ts_change,ortg_change
High → High,45,14.23,15.5,55.2,55.43,104.97,104.73,1.27,0.23,-0.24
High → Low,29,14.42,14.32,55.12,54.64,104.88,103.31,-0.1,-0.48,-1.57
High → Medium,44,15.91,16.12,55.87,55.9,105.46,105.41,0.21,0.03,-0.05
Low → High,26,13.83,15.76,54.22,56.03,101.48,106.09,1.93,1.81,4.61
Low → Low,36,13.64,13.86,53.99,54.59,102.15,102.74,0.22,0.6,0.59
Low → Medium,47,13.43,14.89,54.08,55.45,102.16,104.47,1.46,1.37,2.31
Medium → High,54,13.53,14.57,54.56,55.5,103.29,104.79,1.05,0.94,1.5
Medium → Low,39,14.31,13.81,54.45,54.17,102.91,102.03,-0.5,-0.27,-0.88
Medium → Medium,85,13.58,14.5,54.34,54.69,102.49,103.24,0.92,0.35,0.75
